rownames;gear;species_name;length_mm;weight_g;Sex;Mat;id_specimen;length_field2;length_field3;total_number;subsample_number;kg_field1;kg_field2;kg_field3;haul_weight;type_subsample;Notes;ID;haul
126;NA;MUREBRA;0;0;NA;0;NA;0;0;0;222;8.5;0.671;0;30;C2_haul;NA;126;cala_55
127;NA;SOLEVUL;18;41;M;1;NA;0;0;0;0;0;0;0;0;NA;NA;127;cala_55
195;NA;HEXATRU;0;50;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;195;cala_56
196;NA;PECTJAC;47;13;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;196;cala_56
197;NA;AEQUOPE;32;5;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;197;cala_56
229;D;OSTREDU;0;49;NA;0;NA;0;0;2;0;0;0;0;0;NA;NA;229;cala_57
230;NA;MELIKER;31;12;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;230;cala_57
231;NA;GOBISPP;5;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;pomatoschistus sp;231;cala_57
214;D;PECTJAC;70;47;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;214;cala_58
215;NA;NA;50;30;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;215;cala_58
216;NA;SEPIELE;46;20;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;216;cala_58
376;D;ARNOLAT;75;3;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;376;cala_59
377;NA;SQUIMAN;20;10;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;377;cala_59
265;D;PECTJAC;59;29;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;265;cala_6
266;NA;MUREBRA;0;80;NA;0;NA;0;0;4;0;0;0;0;0;NA;NA;266;cala_6
267;NA;SEPIOFF;65;40;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;267;cala_6
268;NA;SQUIMAN;18;4;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;268;cala_6
382;D;MELIKER;29;12;F;1;NA;0;0;1;0;0;0;0;0;NA;NA;382;cala_62
383;D;SQUIMAN;18;7;F;1;NA;0;0;1;0;0;0;0;0;NA;NA;383;cala_62
384;D;MUREBRA;0;24;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;384;cala_62
415;D;OSTREDU;0;175;NA;0;NA;0;0;12;0;0;0;0;0;NA;NA;415;cala_68
416;NA;MUREBRA;0;162;NA;0;NA;0;0;22;0;0;0;0;0;NA;NA;416;cala_68
417;NA;MYTGALL;0;1;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;417;cala_68
418;NA;CHLAGLA;53;20;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;418;cala_68
419;NA;NA;54;16;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;419;cala_68
420;NA;NA;27;3;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;420;cala_68
421;NA;NA;26;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;421;cala_68
422;NA;NA;22;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;422;cala_68
423;NA;NA;18;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;423;cala_68
424;NA;NA;20;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;424;cala_68
425;NA;AEQUOPE;30;4;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;425;cala_68
426;NA;NA;31;4;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;426;cala_68
427;NA;NA;30;5;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;427;cala_68
428;NA;NA;24;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;428;cala_68
429;NA;NA;22;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;429;cala_68
430;NA;NA;33;6;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;430;cala_68
431;NA;NA;34;5;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;431;cala_68
432;NA;NA;32;5;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;432;cala_68
433;NA;NA;23;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;433;cala_68
434;NA;NA;23;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;434;cala_68
435;NA;NA;20;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;435;cala_68
436;NA;NA;21;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;436;cala_68
437;NA;NA;17;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;437;cala_68
97;D;GALEECH;0;25;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;97;cala_69
170;D;MELIKER;25;9;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;173;cala_70
171;NA;NA;26;10;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;174;cala_70
172;NA;OSTREDU;0;36;NA;0;NA;0;0;9;0;0;0;0;0;NA;NA;175;cala_70
173;NA;AEQUOPE;21;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;176;cala_70
174;NA;NA;25;2;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;177;cala_70
175;NA;CHLAGLA;13;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;178;cala_70
176;NA;ACTINND;0;2;NA;0;NA;0;0;3;0;0;0;0;0;NA;NA;179;cala_70
177;NA;ASCIASP;0;1;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;180;cala_70
89;D;MUREBRA;0;61;NA;0;NA;0;0;3;0;0;0;0;0;NA;NA;89;cala_71
90;NA;AEQUOPE;0;24;NA;0;NA;0;0;1;0;0;0;0;0;NA;NA;90;cala_71
292;D;OSTREDU;0;104;NA;0;NA;0;0;23;0;0;0;0;0;NA;NA;292;cala_73
95;D;MUREBRA;0;66;NA;0;NA;0;0;11;0;0;0;0;0;NA;NA;95;cala_74
96;NA;OSTREDU;0;427;NA;0;NA;0;0;40;0;0;0;0;0;NA;NA;96;cala_74
97;NA;CHLAGLA;10;1;NA;0;NA;0;0;0;0;0;0;0;0;NA;NA;97;cala_74
152;NA;MELIKER;26;11;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;152;cala_37
239;D;MELIKER;23;4;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;239;cala_8
312;NA;NA;28;38;F;2;NA;0;0;0;0;0;0;0;0;NA;NA;312;cala_9
313;NA;NA;20;13;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;313;cala_9
314;NA;NA;19;10;M;0;NA;0;0;0;0;0;0;0;0;NA;NA;314;cala_9
315;NA;NA;20;13;F;1;NA;0;0;0;0;0;0;0;0;NA;NA;315;cala_9
